"filename", "language", "JSON", "TypeScript", "JSON with Comments", "MS SQL", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\local\travel-link\travel-link\README.md", "Markdown", 0, 0, 0, 0, 68, 0, 2, 29, 99
"c:\Users\local\travel-link\travel-link\dump.sql", "MS SQL", 0, 0, 0, 323, 0, 0, 269, 290, 882
"c:\Users\local\travel-link\travel-link\module\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\local\travel-link\travel-link\module\README.md", "Markdown", 0, 0, 0, 0, 68, 0, 2, 29, 99
"c:\Users\local\travel-link\travel-link\module\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 33, 1, 2, 36
"c:\Users\local\travel-link\travel-link\module\nest-cli.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\local\travel-link\travel-link\module\package.json", "JSON", 71, 0, 0, 0, 0, 0, 0, 1, 72
"c:\Users\local\travel-link\travel-link\module\src\app.controller.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\local\travel-link\travel-link\module\src\app.controller.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\local\travel-link\travel-link\module\src\app.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\local\travel-link\travel-link\module\src\app.service.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\local\travel-link\travel-link\module\src\main.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\local\travel-link\travel-link\module\test\app.e2e-spec.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\local\travel-link\travel-link\module\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\local\travel-link\travel-link\module\tsconfig.build.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\local\travel-link\travel-link\module\tsconfig.json", "JSON with Comments", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\local\travel-link\travel-link\nest-cli.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\local\travel-link\travel-link\package-lock.json", "JSON", 10507, 0, 0, 0, 0, 0, 0, 1, 10508
"c:\Users\local\travel-link\travel-link\package.json", "JSON", 84, 0, 0, 0, 0, 0, 0, 1, 85
"c:\Users\local\travel-link\travel-link\schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\local\travel-link\travel-link\src\app.module.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 2, 63
"c:\Users\local\travel-link\travel-link\src\auth\auth.controller.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\local\travel-link\travel-link\src\auth\auth.module.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\local\travel-link\travel-link\src\auth\auth.service.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 8, 56
"c:\Users\local\travel-link\travel-link\src\auth\guards\jwt-auth.guard.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\Users\local\travel-link\travel-link\src\auth\guards\jwt-role.guard.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 4, 40
"c:\Users\local\travel-link\travel-link\src\auth\guards\role-auth.decorator.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\local\travel-link\travel-link\src\favourite\dto\create-favourite.dto.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\local\travel-link\travel-link\src\favourite\favourite.controller.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\local\travel-link\travel-link\src\favourite\favourite.model.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 2, 9, 32
"c:\Users\local\travel-link\travel-link\src\favourite\favourite.module.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\local\travel-link\travel-link\src\favourite\favourite.service.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 5, 64
"c:\Users\local\travel-link\travel-link\src\liked\dto\add-liked.dto.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\local\travel-link\travel-link\src\liked\liked.controller.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\local\travel-link\travel-link\src\liked\liked.model.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 2, 9, 32
"c:\Users\local\travel-link\travel-link\src\liked\liked.module.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\local\travel-link\travel-link\src\liked\liked.service.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 5, 64
"c:\Users\local\travel-link\travel-link\src\main.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 6, 16
"c:\Users\local\travel-link\travel-link\src\point\dto\create-point-by-address.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\local\travel-link\travel-link\src\point\dto\create-point-by-coordinates.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\local\travel-link\travel-link\src\point\dto\create-point.dto.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\local\travel-link\travel-link\src\point\dto\upgrade-point.dto.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\local\travel-link\travel-link\src\point\point.controller.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 11, 54
"c:\Users\local\travel-link\travel-link\src\point\point.model.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 2, 18, 58
"c:\Users\local\travel-link\travel-link\src\point\point.module.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\local\travel-link\travel-link\src\point\point.service.ts", "TypeScript", 0, 237, 0, 0, 0, 0, 0, 45, 282
"c:\Users\local\travel-link\travel-link\src\review\dto\create-review-for-point.dto.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\local\travel-link\travel-link\src\review\dto\create-review-for-route.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\local\travel-link\travel-link\src\review\review.controller.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 7, 38
"c:\Users\local\travel-link\travel-link\src\review\review.model.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 2, 11, 39
"c:\Users\local\travel-link\travel-link\src\review\review.module.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\local\travel-link\travel-link\src\review\review.service.ts", "TypeScript", 0, 105, 0, 0, 0, 0, 1, 24, 130
"c:\Users\local\travel-link\travel-link\src\route-point\route-point.model.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 1, 8, 31
"c:\Users\local\travel-link\travel-link\src\route-point\route-point.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\local\travel-link\travel-link\src\route\dto\create-route.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\local\travel-link\travel-link\src\route\dto\get-point-of-interest.dto.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\local\travel-link\travel-link\src\route\dto\upgrade-points.dto.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\local\travel-link\travel-link\src\route\dto\upgrade-route.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\local\travel-link\travel-link\src\route\route.controller.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 13, 62
"c:\Users\local\travel-link\travel-link\src\route\route.model.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 2, 18, 57
"c:\Users\local\travel-link\travel-link\src\route\route.module.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\local\travel-link\travel-link\src\route\route.service.ts", "TypeScript", 0, 242, 0, 0, 0, 0, 9, 43, 294
"c:\Users\local\travel-link\travel-link\src\search & filter\search.controller.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\local\travel-link\travel-link\src\search & filter\search.module.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\local\travel-link\travel-link\src\search & filter\search.service.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 5, 38
"c:\Users\local\travel-link\travel-link\src\tag-point\tag-point.model.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 1, 7, 28
"c:\Users\local\travel-link\travel-link\src\tag-point\tag-point.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\local\travel-link\travel-link\src\tag-route\tag-route.model.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 1, 7, 28
"c:\Users\local\travel-link\travel-link\src\tag-route\tag-route.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\local\travel-link\travel-link\src\tag\tag.controller.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\local\travel-link\travel-link\src\tag\tag.model.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 2, 9, 26
"c:\Users\local\travel-link\travel-link\src\tag\tag.module.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\local\travel-link\travel-link\src\tag\tag.service.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\local\travel-link\travel-link\src\user\dto\create-user.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\local\travel-link\travel-link\src\user\dto\login-user.dto.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\local\travel-link\travel-link\src\user\user.controller.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\local\travel-link\travel-link\src\user\user.model.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 2, 16, 52
"c:\Users\local\travel-link\travel-link\src\user\user.module.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\local\travel-link\travel-link\src\user\user.service.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 10, 34
"c:\Users\local\travel-link\travel-link\tsconfig.build.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\local\travel-link\travel-link\tsconfig.json", "JSON with Comments", 0, 0, 25, 0, 0, 0, 0, 1, 26
"Total", "-", 10699, 1775, 50, 323, 136, 33, 301, 748, 14065